molecule_chembl_id,standard_value,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL2396992,155000.0,inactive,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,243.13699999999994,3.284320000000001,2.0,1.0,155000.0,3.8096683018297086
CHEMBL3218636,10000.0,inactive,CCCC[C@H]1NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,1499.7979999999995,4.442470000000009,13.0,15.0,10000.0,5.0
CHEMBL3218638,200.0,active,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,1452.7029999999997,-1.1475900000000159,19.0,17.0,200.0,6.698970004336019
CHEMBL3218639,10000.0,inactive,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,1416.6450000000004,1.8378700000000048,13.0,16.0,10000.0,5.0
CHEMBL3218640,10000.0,inactive,CC(C)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,1276.4999999999989,1.4577999999999964,10.0,15.0,10000.0,5.0
CHEMBL3218641,700.0,active,CCCC[C@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,1486.7639999999994,-0.18490000000002094,15.0,16.0,700.0,6.154901959985743
CHEMBL3577116,120.0,active,CCn1c(=O)c(-c2cc(NC(=O)NCCC(C)(C)C)c(F)cc2C)cc2cnc(NC)cc21,453.5620000000001,5.130320000000005,3.0,5.0,120.0,6.920818753952375
CHEMBL3577115,91.0,active,CCn1c(=O)c(-c2ccc(F)c(NC(=O)Nc3cc(C(C)(C)C)no3)c2)cc2cnc(NC)cc21,478.52800000000025,5.193700000000003,3.0,7.0,91.0,7.040958607678906
CHEMBL3577114,57.0,active,CNc1cc2c(cn1)cc(-c1ccc(F)c(NC(=O)Nc3cc(C(C)(C)C)no3)c1)c(=O)n2[C@H]1CCOC1,520.5650000000003,5.135200000000005,3.0,8.0,57.0,7.2441251443275085
CHEMBL1229517,16600.0,inactive,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,489.9310000000001,5.544200000000004,2.0,4.0,16600.0,4.779891911959945
CHEMBL3577124,150.0,active,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,424.52400000000017,5.047140000000004,3.0,5.0,150.0,6.823908740944319
CHEMBL3577123,16.0,active,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)cnc2n1,410.4970000000001,4.738720000000003,3.0,5.0,16.0,7.795880017344075
CHEMBL3577121,120.0,active,CNc1cc2nc(C)c(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)cc2cn1,423.5360000000002,5.652140000000005,3.0,4.0,120.0,6.920818753952375
CHEMBL3577120,46.0,active,CNc1cc2nc(C)c(-c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3)cc2cn1,409.5090000000002,5.343720000000004,3.0,4.0,46.0,7.337242168318426
CHEMBL3577119,48.0,active,CNc1ncc2cc(-c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3)c(C)nc2n1,410.49700000000024,4.738720000000003,3.0,5.0,48.0,7.318758762624412
CHEMBL3577118,270.0,active,CNc1cc2nc(C)c(-c3cc(NC(=O)NCCC(C)(C)C)ccc3C)cc2cn1,405.54600000000016,5.513040000000005,3.0,4.0,270.0,6.568636235841013
CHEMBL3577117,160.0,active,CNc1cc2nc(C)c(-c3cc(NC(=O)NC[C@@H](O)C(C)(C)C)c(F)cc3C)cc2cn1,439.5350000000002,4.622940000000003,4.0,5.0,160.0,6.795880017344075
